companyId,securityId,companyName,stockSymbol
88,306,"Keppel Philippines Properties, Inc.",KEP
672,645,"Kepwealth Property Phils., Inc.",KPPI
236,469,"LBC Express Holdings, Inc.",LBC
98,326,Lepanto Consolidated Mining Company,LC
227,159,"Liberty Flour Mills, Inc.",LFM
205,379,LMG Corp.,LMG
37,377,Lodestar Investment Holdings Corporation,LODE
605,528,Pacific Online Systems Corporation,LOTO
698,693,LFM Properties Corporation,LPC
61,186,Lopez Holdings Corporation,LPZ
115,144,Lorenzo Shipping Corporation,LSC
12,225,"LT Group, Inc.",LTG
119,328,Manila Mining Corporation,MA
106,212,MacroAsia Corporation,MAC
145,221,"Macay Holdings, Inc.",MACAY
3,241,Metro Alliance Holdings & Equities Corp.,MAH
175,177,"Marcventures Holdings, Inc.",MARC
135,163,"Max's Group, Inc.",MAXS
1,130,Manila Bulletin Publishing Corporation,MB
117,382,Manila Broadcasting Company,MBC
128,108,Metropolitan Bank & Trust Company,MBT
126,383,"MEDCO Holdings, Inc.",MED
687,676,Medilines Distributors Incorporated,MEDIC
127,215,Megaworld Corporation,MEG
118,137,Manila Electric Company,MER
120,120,Manulife Financial Corporation,MFC
263,503,Makati Finance Corporation,MFIN
105,214,"Millennium Global Holdings, Inc.",MG
192,198,Metro Global Holdings Corporation,MGH
206,217,Mabuhay Holdings Corporation,MHC
102,256,"Manila Jockey Club, Inc.",MJC
24,194,MJC Investments Corporation,MJIC
677,653,MerryMart Consumer Corp.,MM
682,665,Monde Nissin Corporation,MONDE
131,309,"MRC Allied, Inc.",MRC
685,671,"MREIT, Inc.",MREIT
659,616,"Metro Retail Stores Group, Inc.",MRSGI
100,242,Mabuhay Vinyl Corporation,MVC
270,518,"Manila Water Company, Inc.",MWC
627,564,Megawide Construction Corporation,MWIDE
707,737,"Maynilad Water Services, Inc.",MYNLD
103,213,"NiHAO Mineral Resources International, Inc.",NI
625,561,Nickel Asia Corporation,NIKL
264,510,Now Corporation,NOW
606,529,National Reinsurance Corporation of the Philippines,NRCP
179,100,NextGenesis Corporation,NXGEN
704,716,"OceanaGold (Philippines), Inc.",OGP
207,330,Omico Corporation,OM
43,338,Oriental Petroleum and Minerals Corporation,OPM
616,541,"Oriental Peninsula Resources Group, Inc.",ORE
45,341,The Philodrill Corporation,OV
109,342,"Pacifica Holdings, Inc.",PA
20,189,"PAL Holdings, Inc.",PAL
194,195,"Paxys, Inc.",PAX
640,583,Philippine Business Bank,PBB
208,110,Philippine Bank of Communications,PBC
136,139,Petron Corporation,PCOR
578,516,PetroEnergy Resources Corporation,PERC
629,567,"Puregold Price Club, Inc.",PGOLD
148,258,Premiere Horizon Alliance Corporation,PHA
97,220,Philcomsat Holdings Corporation,PHC
138,310,Philippine Estates Corporation,PHES
107,184,Phinma Corporation,PHN
631,570,"PH Resorts Group Holdings, Inc.",PHR
664,631,"Shakey's Pizza Asia Ventures, Inc.",PIZZA
96,253,DigiPlus Interactive Corp.,PLUS
104,239,Panasonic Manufacturing Philippines Corporation,PMPC
139,109,Philippine National Bank,PNB
7,151,Philippine National Construction Corporation,PNC
608,531,"Phoenix Petroleum Philippines, Inc.",PNX
129,384,"Globalport 900, Inc.",PORT
150,246,Pryce Corporation,PPC
141,257,"Philippine Racing Club, Inc.",PRC
699,694,Premiere Island Power REIT Corporation,PREIT
30,106,"Prime Media Holdings, Inc.",PRIM
214,419,Primex Corporation,PRMX
142,112,Philippine Savings Bank,PSB
478,512,"The Philippine Stock Exchange, Inc.",PSE
144,393,Philippine Trust Company,PTC
76,132,PT&T Corp.,PTT
137,331,Philex Mining Corporation,PX
628,566,PXP Energy Corporation,PXP
232,113,Rizal Commercial Banking Corporation,RCB
54,363,"Roxas and Company, Inc.",RCI
684,670,"RL Commercial REIT, Inc.",RCR
702,702,Repower Energy Development Corporation,REDC
153,153,Republic Glass Holdings Corporation,REG
77,164,RFM Corporation,RFM
195,312,Robinsons Land Corporation,RLC
40,313,Philippine Realty and Holdings Corporation,RLT
635,574,Rockwell Land Corporation,ROCK
64,250,"Roxas Holdings,  Inc.",ROX
646,589,"Robinsons Retail Holdings, Inc.",RRHI
658,612,SBS Philippines Corporation,SBS
157,396,Semirara Mining and Power Corporation,SCC
32,114,Security Bank Corporation,SECB
143,251,Philippine Seven Corporation,SEVN
165,402,"Swift Foods, Inc.",SFI
160,224,"Solid Group, Inc.",SGI
166,385,"Synergy Grid & Development Phils., Inc.",SGP
663,629,Shell Pilipinas Corporation,SHLPH
218,301,"Shang Properties, Inc.",SHNG
78,122,Sun Life Financial Inc.,SLF
41,417,"Sta. Lucia Land, Inc.",SLI
599,520,SM Investments Corporation,SM
154,165,San Miguel Corporation,SMC
